st_name,year,ac_no,ac_name,ac_type,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Maharashtra,2009.0,104,Sillod,GEN,Sakhle Prakash Shivaji,M,IND,IND,589.0,251080
Maharashtra,2009.0,66,Amgaon,ST,Taram Ramesh Narayan,M,BJP,BJP,58158.0,218421
Maharashtra,1990.0,95,,GEN,Jain Ishwarlal Shankarkal,M,Indian National Congress,INC,36792.0,203424
Maharashtra,1978.0,75,,GEN,Pagar Laxman Bhikaji,M,Independent,IND,1245.0,94838
Maharashtra,2014.0,59,Ramtek ,GEN,Vishesh Vasanta Futane,M,BSP,BSP,8601.0,247504
Maharashtra,1990.0,174,,SC,Prakash Lalu,M,Hul Jharkhand Party,HJP,157.0,174479
Maharashtra,2004.0,122,Teosa,GEN,Sanjay Shivling Kolhe,M,Samajwadi Party,SP,1338.0,169587
Maharashtra,1995.0,163,,GEN,Ingole Ashok Mahadeo,M,Republican Party Of India,RPI,656.0,202695
Maharashtra,2009.0,146,Ovala - Majiwada,GEN,Pratap Baburao Sarnaik,M,SHS,SHS,52373.0,310341
Maharashtra,2004.0,99,Yaval,GEN,Tadvi Jamser Sardar,M,Independent,IND,239.0,167900
